date,code,side,amount,cost
2025-04-23,301486,buy,67636.23003340702,155.56332907683614
2025-04-23,300391,buy,67636.23003340702,155.56332907683614
2025-05-26,002816,sell,109167.13998566079,360.2515619526806
2025-05-26,300242,sell,74674.51793028438,246.42590916993845
2025-05-26,002347,sell,86405.56152051009,285.1383530176833
2025-05-26,600200,sell,43301.45886325302,142.89481424873497
2025-05-26,002648,sell,66820.39957349803,220.5073185925435
2025-05-26,000668,sell,98666.10576846958,325.59814903594963
2025-05-26,300391,sell,64707.651001032675,213.53524830340783
2025-05-26,603338,sell,73374.67090373415,242.1364139823227
2025-05-26,603922,sell,75906.51966218925,250.49151488522455
2025-05-26,300152,sell,60844.54439103967,200.7869964904309
2025-05-26,300542,sell,60048.23192716606,198.159165359648
2025-05-26,002369,sell,70524.60996365927,232.7312128800756
2025-05-26,300071,sell,69359.44608521354,228.88617208120468
2025-05-26,002703,sell,74870.36594132794,247.0722076063822
2025-05-26,301486,sell,82185.72133873001,271.21288041780906
2025-05-26,300296,sell,66848.45364366684,220.59989702410058
2025-05-26,002211,sell,71406.89094119276,235.6427401059361
2025-05-26,000820,sell,103846.07104395622,342.6920344450555
2025-05-26,300326,buy,74744.38115207263,171.91207664976704
2025-05-26,002581,buy,74744.38115207263,171.91207664976704
2025-05-26,300716,buy,74744.38115207263,171.91207664976704
2025-05-26,002717,buy,74744.38115207263,171.91207664976704
2025-05-26,600355,buy,74744.38115207263,171.91207664976704
2025-05-26,002862,buy,74744.38115207263,171.91207664976704
2025-05-26,603261,buy,74744.38115207263,171.91207664976704
2025-05-26,300477,buy,74744.38115207263,171.91207664976704
2025-05-26,300093,buy,74744.38115207263,171.91207664976704
2025-05-26,000736,buy,74744.38115207263,171.91207664976704
2025-05-26,300052,buy,74744.38115207263,171.91207664976704
2025-05-26,002231,buy,74744.38115207263,171.91207664976704
2025-05-26,834950,buy,74744.38115207263,171.91207664976704
2025-05-26,832023,buy,74744.38115207263,171.91207664976704
2025-05-26,002076,buy,74744.38115207263,171.91207664976704
2025-05-26,002514,buy,74744.38115207263,171.91207664976704
2025-05-26,300472,buy,74744.38115207263,171.91207664976704
2025-05-26,000504,buy,74744.38115207263,171.91207664976704
2025-06-24,300326,sell,76913.30292657478,253.81389965769677
2025-06-24,002717,sell,57445.46324351432,189.57002870359725
