,strategy,benchmark
2025-04-17,1321040.7068238023,1421715.8473265683
2025-04-18,1322859.4933676766,1419952.7233042705
2025-04-21,1327324.1560217047,1444851.908130185
2025-04-22,1312419.292203232,1446515.5866466581
2025-04-23,1319164.6954085506,1455747.2817445863
2025-04-24,1286347.825323694,1442850.8030908003
2025-04-25,1288852.6032783203,1445240.925881899
2025-04-28,1327517.21578832,1424789.6652903177
2025-04-29,1064158.9526525908,1436309.1962786329
2025-04-30,1235320.3089250468,1450016.4221886755
2025-05-06,1367918.6953094292,1490691.2172461734
2025-05-07,1381153.3099220167,1501814.3792936234
2025-05-08,1386957.3146011243,1517769.3634489032
2025-05-09,1384000.5580649767,1502188.4142876426
2025-05-12,1421296.7515370408,1522990.150688693
2025-05-13,1415287.508025616,1519938.1790239646
2025-05-14,1419650.8806783215,1523112.22318015
2025-05-15,1403850.3535146366,1510585.2893862012
2025-05-16,1405884.5230428048,1517683.1642817813
2025-05-19,1445896.5972831263,1531346.8903049151
2025-05-20,1468667.6430842977,1547201.7859054978
2025-05-21,1480856.5074934142,1539906.828207119
2025-05-22,1479206.2408206677,1518991.3834339571
2025-05-23,1449375.9241637492,1502387.7597618029
2025-05-26,1486759.8678030386,1516727.6365539257
2025-05-27,1479286.434879618,1519070.7291125723
2025-05-28,1485791.9884277903,1512731.528127454
2025-05-29,1496828.932125461,1536807.9241229747
2025-05-30,1475077.4739910823,1515459.6603401755
2025-06-03,1464591.1305795456,1527778.519780565
2025-06-04,1486328.216327591,1542205.6575208926
2025-06-05,1471152.666294584,1546257.8766894503
2025-06-06,1483398.4707895224,1545366.583418163
2025-06-09,1517571.8775982547,1563747.6822289685
2025-06-10,1536393.581175251,1551497.0201061019
2025-06-11,1541276.3426649885,1560196.5155899294
2025-06-12,1547192.646576679,1563017.0814738832
2025-06-13,1506983.457597169,1534541.6966868923
2025-06-16,1478373.137986378,1547719.753593344
2025-06-17,1522307.814030585,1545088.3797712745
2025-06-18,1491290.246113627,1539008.2566800662
2025-06-19,1461974.8523113183,1511430.909824242
2025-06-20,1438743.0819103676,1500214.577810023
2025-06-23,1453205.5190517455,1523937.7477680305
2025-06-24,1476658.7272051517,1553669.2623469145
2025-06-25,1474268.609229736,1567983.4786016543
2025-06-26,1476001.1488189753,1564343.9463347
2025-06-27,1365903.4149172239,1571753.0063768674
